0, 1937, 914
1, 1932, 1406
2, 1928, 1510
3, 12117, 1890
4, 21847, 1897
5, 21131, 1899
6, 22520, 1901
7, 21916, 1910
8, 2916, 1910
9, 10126, 1911
10, 1934, 1915
11, 1927, 1916
12, 32147, 1916
13, 2921, 1917
14, 1925, 1917
15, 1510, 1917
16, 1917, 1917
17, 2098, 1918
18, 914, 1918
19, 1916, 1919
20, 1938, 1920
21, 1917, 1925
22, 1927, 1927
23, 14104, 1927
24, 1938, 1927
25, 1406, 1928
26, 1935, 1932
27, 1916, 1934
28, 3484, 1935
29, 2132, 1937
30, 6915, 1938
31, 3065, 1938
32, 1917, 1938
33, 31918, 2043
34, 3141, 2098
35, 1920, 2100
36, 2931, 2110
37, 1938, 2131
38, 1918, 2132
39, 1917, 2150
40, 31786, 2493
41, 21757, 2895
42, 22822, 2899
43, 22641, 2902
44, 22510, 2914
45, 22748, 2916
46, 22523, 2921
47, 21518, 2921
48, 21552, 2931
49, 4226, 2992
50, 4063, 3047
51, 1919, 3065
52, 17854, 3141
53, 3215, 3215
54, 3426, 3389
55, 1910, 3426
56, 19082, 3484
57, 21289, 3652
58, 5915, 3897
59, 1915, 4063
60, 1918, 4226
61, 2921, 5915
62, 2493, 6912
63, 26655, 6915
64, 2131, 10114
65, 2899, 10126
66, 30591, 10669
67, 6912, 12117
68, 1927, 13821
69, 1911, 14104
70, 1897, 17854
71, 3389, 19082
72, 26630, 19867
73, 3897, 20864
74, 2100, 21131
75, 1901, 21289
76, 19867, 21518
77, 2902, 21552
78, 10114, 21757
79, 2992, 21847
80, 10669, 21899
81, 22099, 21916
82, 2043, 22099
83, 2110, 22273
84, 30130, 22510
85, 1890, 22520
86, 32898, 22523
87, 3652, 22641
88, 22798, 22748
89, 20864, 22798
90, 2150, 22822
91, 13821, 26630
92, 22273, 26655
93, 1910, 30130
94, 2914, 30591
95, 31710, 30596
96, 21899, 31710
97, 1899, 31786
98, 3047, 31918
99, 30596, 32147
100, 2895, 32898
9830, 
