0, 8284, 7053
1, 7054, 7054
2, 8062, 7057
3, 7071, 7071
4, 8873, 7073
5, 8148, 7079
6, 7864, 7079
7, 8477, 7080
8, 8084, 7082
9, 8078, 7083
10, 7871, 7086
11, 8060, 7087
12, 8062, 7091
13, 7855, 7099
14, 8069, 7100
15, 8075, 7101
16, 8484, 7177
17, 8074, 7177
18, 8895, 7190
19, 7087, 7213
20, 8073, 7232
21, 8061, 7247
22, 7079, 7327
23, 7057, 7331
24, 7891, 7356
25, 8049, 7367
26, 10049, 7405
27, 8593, 7480
28, 8061, 7568
29, 9084, 7768
30, 8511, 7781
31, 7866, 7839
32, 7079, 7855
33, 7926, 7864
34, 8076, 7866
35, 8079, 7868
36, 8851, 7871
37, 8073, 7887
38, 9070, 7888
39, 7053, 7891
40, 8075, 7926
41, 7073, 8049
42, 7213, 8060
43, 7232, 8061
44, 7177, 8061
45, 7356, 8062
46, 7480, 8062
47, 7247, 8064
48, 8469, 8069
49, 8473, 8073
50, 8448, 8073
51, 7768, 8074
52, 8927, 8075
53, 7082, 8075
54, 8135, 8075
55, 7781, 8076
56, 7568, 8076
57, 8090, 8078
58, 8907, 8079
59, 8710, 8081
60, 8081, 8081
61, 8075, 8083
62, 7080, 8084
63, 8076, 8090
64, 8496, 8090
65, 8335, 8092
66, 8874, 8093
67, 7086, 8094
68, 7405, 8098
69, 8083, 8127
70, 8064, 8135
71, 8090, 8137
72, 7101, 8148
73, 8599, 8283
74, 7367, 8284
75, 8098, 8335
76, 8889, 8448
77, 8093, 8469
78, 8127, 8473
79, 8092, 8477
80, 7888, 8484
81, 9000, 8496
82, 7327, 8511
83, 8898, 8593
84, 8946, 8599
85, 7887, 8710
86, 7868, 8725
87, 7100, 8851
88, 7099, 8873
89, 7331, 8874
90, 7190, 8889
91, 8137, 8895
92, 7839, 8898
93, 7177, 8907
94, 8725, 8927
95, 8081, 8932
96, 7083, 8946
97, 8283, 9000
98, 8094, 9070
99, 7091, 9084
100, 8932, 10049
101, 11391, 11391
8017, 
